dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,403.gcc,1,0.68814699999999995,2.63097,0.230156,0.23011000000000001,4.6364199999999999e-05,0,0,0,0.99979855338525336,0.00020144661474665238,0,0,0
spec06,429.mcf,4,0.20539669906466954,6.3356200000000005,0.201370775,0.20137074999999999,1.712985e-08,0,0,0,0.99999911333368796,8.8666631200014188e-07,0,0,0
spec06,433.milc,3,1.5652953770222435,0.0014066666666666665,0.00081569399999999995,0.00080080866666666672,1.4884146666666667e-05,0,0,0,0.98518091763086735,0.014819082369132779,0,0,0
spec06,436.cactusADM,1,1.8937900000000001,9.0931200000000008,0.32732099999999997,0.32732099999999997,0,0,0,0,1,0,0,0,0
spec06,450.soplex,1,0.608178,0.76746000000000003,0.095346500000000001,0.095346500000000001,0,0,0,0,1,0,0,0,0
spec06,459.GemsFDTD,3,1.2535115850681331,0.41743666666666668,0.019426524666666663,0.019425634666666667,9.0242099999999998e-07,0,0,0,0.99990020162718019,9.9798372819721556e-05,0,0,0
spec06,471.omnetpp,1,0.43438700000000002,3.7331500000000002,0.16386000000000001,0.16358300000000001,0.00027740499999999999,0,0,0,0.99830705972168277,0.0016929402783172388,0,0,0
spec06,473.astar,2,0.34693626702176866,9.3522400000000001,0.2790455,0.27904419999999996,1.3061549999999999e-06,0,0,0,0.9999757337507128,2.4266249287178927e-05,0,0,0
spec06,483.xalancbmk,1,0.29639100000000002,3.4416000000000002,0.79887300000000006,0.78656300000000001,0.012309499999999999,0,0,0,0.98459146908414685,0.015408530915853091,0,0,0
spec17,602.gcc_s,1,0.75441000000000003,0.21013999999999999,0.136269,0.136269,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.33114116321621084,10.933028,0.45124464399999997,0.45124464399999997,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.49001555225523202,4.5101399999999998,0.20596449999999999,0.2050565,0.00090803150000000007,0,0,0,0.99556353138330023,0.0044364686166997718,0,0,0
spec17,623.xalancbmk_s,3,0.93776310850329891,2.6079699999999999,0.25626869999999996,0.25345763333333332,0.0028109506666666663,0,0,0,0.98846374130138115,0.011536258698618761,0,0,0
spec17,649.fotonik3d_s,1,1.19669,0.01366,0.0018293199999999999,0.0018293199999999999,0,0,0,0,1,0,0,0,0
gap,bc,11,0.31449144263680018,18.331126363636365,0.79598336363636368,0.79598336363636368,0,0,0,0,1,0,0,0,0
gap,bfs,18,0.23178241706898095,9.5404694444444456,0.40310214999999999,0.40291559444444441,0.00018660901111111112,0,0,0,0.99957928335703494,0.00042071664296517927,0,0,0
gap,cc,18,0.38509310385267154,12.219037777777778,0.61635183333333332,0.61634616666666675,5.640277777777778e-06,0,0,0,0.99997601504336486,2.3984956635198404e-05,0,0,0
gap,pr,8,0.029556408729555169,146.34991249999999,0.90271962500000003,0.90271962500000003,0,0,0,0,1,0,0,0,0
gap,sssp,10,0.21398588009437303,52.939115999999999,0.81740780000000002,0.81735190000000002,5.5889078000000007e-05,0,0,0,0.9997553846495808,0.00024461535041915328,0,0,0
gap,tc,6,0.15682302425262509,14.383698333333333,0.95893700000000004,0.95893649999999997,3.7615499999999997e-07,0,0,0,0.99999956225365827,4.3774634175382197e-07,0,0,0
ligra,ligra_BC,1,0.55912200000000001,0.73041,0.135991,0.135987,3.7236900000000002e-06,0,0,0,0.99997261811859095,2.7381881409071618e-05,0,0,0
ligra,ligra_BFS,1,0.62414800000000004,0.77495000000000003,0.155302,0.15518599999999999,0.000116234,0,0,0,0.9992515646170721,0.00074843538292793089,0,0,0
