dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec06,403.gcc,1,0.68649099999999996,2.87791,0.25723299999999999,0.25718800000000003,4.5584799999999998e-05,0,0,0,0.99982278806494995,0.00017721193505008845,0,0,0
spec06,429.mcf,4,0.20169230333317764,6.39168,0.22219862500000001,0.22219862500000001,1.7131625e-08,0,0,0,0.9999991149847246,8.8501527536365277e-07,0,0,0
spec06,433.milc,3,1.0406383350064499,1.7838966666666665,0.98766633333333331,0.98765133333333333,1.4976956666666667e-05,0,0,0,0.9999845148296661,1.548517033392296e-05,0,0,0
spec06,436.cactusADM,1,1.8782099999999999,9.0353300000000001,0.32781100000000002,0.32714300000000002,0,0.00066829699999999999,0,0,0.99796133622125593,0,0.0020386637787441078,0,0
spec06,450.soplex,1,0.59285100000000002,1.0598700000000001,0.13569899999999999,0.13569899999999999,0,0,0,0,1,0,0,0,0
spec06,459.GemsFDTD,3,1.099017396518573,1.7061333333333331,0.32852566666666666,0.32852300000000001,1.5100766666666666e-06,1.0070733333333333e-06,0,0,0.99998859061415024,5.2217073738023451e-06,6.1876784758510386e-06,0,0
spec06,471.omnetpp,1,0.409804,4.5205500000000001,0.23427899999999999,0.23399300000000001,0.00028607600000000002,0,0,0,0.99877890964595017,0.0012210903540498391,0,0,0
spec06,473.astar,2,0.31757507239234001,11.31784,0.37277850000000001,0.37277700000000003,1.7114250000000001e-06,0,0,0,0.99999274729020637,7.2527097936966697e-06,0,0,0
spec06,483.xalancbmk,1,0.29607299999999998,3.46828,0.80685600000000002,0.79452400000000001,0.0123322,0,0,0,0.9847157668930997,0.01528423310690025,0,0,0
spec17,602.gcc_s,1,0.47826400000000002,1.3137700000000001,0.96637700000000004,0.96637700000000004,0,0,0,0,1,0,0,0,0
spec17,605.mcf_s,5,0.31916711521742364,11.423178,0.53582160000000001,0.53582160000000001,0,0,0,0,1,0,0,0,0
spec17,620.omnetpp_s,2,0.49088687830904593,4.5683949999999998,0.21186650000000001,0.21097650000000001,0.00089012899999999992,0,0,0,0.99578351846223567,0.004216481537764296,0,0,0
spec17,623.xalancbmk_s,3,0.93900584493646311,2.6180699999999999,0.25905603333333332,0.25626206666666668,0.0027939843333333338,0,0,0,0.9886701992082888,0.011329800791711253,0,0,0
spec17,649.fotonik3d_s,1,0.84731500000000004,3.3959899999999998,0.73114400000000002,0.73114400000000002,0,0,0,0,1,0,0,0,0
gap,bc,11,0.31417024945963373,18.403896363636363,0.80222881818181824,0.80222881818181824,0,0,0,0,1,0,0,0,0
gap,bfs,18,0.22527133293245272,9.8433022222222224,0.43043700000000001,0.43024972222222219,0.00018718653333333333,1.02107e-07,0,0,0.99958370303180244,0.00041563497765860366,6.6199053892182062e-07,0,0
gap,cc,18,0.3602492956054848,12.696616666666666,0.77188805555555562,0.77188238888888894,5.6566111111111108e-06,0,0,0,0.99999254447963459,7.4555203654994311e-06,0,0,0
gap,pr,8,0.029532338122000876,146.57595000000001,0.90538387499999995,0.90538387499999995,0,1.276569375e-07,0,0,0.99999986678296782,0,1.3321703217250509e-07,0,0
gap,sssp,10,0.21242276868259477,53.080731,0.82573839999999998,0.8256825000000001,5.5949905200000008e-05,2.60723e-08,0,0,0.99975583129990342,0.00024414148776826579,2.7212328273200893e-08,0,0
gap,tc,6,0.15667439767663011,14.434215,0.97832750000000013,0.97832700000000006,4.0969666666666665e-07,0,0,0,0.99999957058397149,4.2941602855444827e-07,0,0,0
ligra,ligra_BC,1,0.55166300000000001,1.1518900000000001,0.21662500000000001,0.21662100000000001,3.7612099999999999e-06,0,0,0,0.99998263723098557,1.7362769014402417e-05,0,0,0
ligra,ligra_BFS,1,0.60267199999999999,1.0445899999999999,0.21313299999999999,0.21301500000000001,0.00011834,0,0,0,0.99944475823050194,0.00055524176949808054,0,0,0
