dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000001,430099483,0.11625199999999999,6490884,6206276,284608,5.6921600000000003,0.043847299999999999,284608,0.043847299999999999,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000001,397579742,0.12576100000000001,7332477,7206718,125759,2.51518,0.017151,125759,0.017151,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000004,108170240,0.46223399999999998,234176,71729,162447,3.2489400000000002,0.69369599999999998,162447,0.69369599999999998,0,0,0,0,0,0,0,0
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000002,291831870,0.17133200000000001,4076618,3517940,558678,11.1736,0.137044,558678,0.137044,0,0,0,0,0,0,0,0
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000000,71093385,0.70330000000000004,59800,119,59681,1.1936199999999999,0.99800999999999995,59677,0.99794300000000002,4,6.6889600000000004e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000001,70799529,0.70621900000000004,74185,18275,55910,1.1182000000000001,0.75365599999999999,55905,0.75358899999999995,5,6.7399100000000003e-05,0,0,0,0,0,0
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000001,57282157,0.87287199999999998,78714,459,78255,1.5650999999999999,0.99416899999999997,78254,0.99415600000000004,1,1.2704199999999999e-05,0,0,0,0,0,0
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000000,35159318,1.4220999999999999,1315894,823256,492638,9.85276,0.37437500000000001,492638,0.37437500000000001,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,113557767,0.440305,251377,197481,53896,1.07792,0.21440300000000001,53887,0.214367,9,3.5802800000000002e-05,0,0,0,0,0,0
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000005,56411963,0.88633700000000004,737036,569556,167480,3.3496000000000001,0.22723399999999999,167478,0.22723199999999999,2,2.7135700000000002e-06,0,0,0,0,0,0
