dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec06,429.mcf,429.mcf-184B,429.mcf-184B.champsimtrace.xz,50000003,455647811,0.109734,6593638,6298991,294647,5.8929400000000003,0.0446866,3594403,71.888099999999994,3594403,294647,284720,0.043180999999999997,0,0,9927,0.0015055400000000001,0,0,0,0,3196114,0.8891918908369485,296452,0.082476005055637888,101355,0.028198006734358946,482,0.0001340973730547187,3196114,0.8891918908369485,0,0,0,0,296452,0.082476005055637888,101355,0.028198006734358946,0,0,0,0,482,0.0001340973730547187,0,0,104295,0.35396593211537875,190352,0.64603406788462125
spec06,429.mcf,429.mcf-192B,429.mcf-192B.champsimtrace.xz,50000000,412214580,0.121296,7431758,7300304,131454,2.6290800000000001,0.017688099999999998,3123728,62.474600000000002,3123728,131454,126992,0.017087700000000001,0,0,4462,0.000600396,0,0,0,0,2903047,0.92935332397699155,185028,0.059233070228905976,35592,0.01139407784544621,61,1.9527948656221027e-05,2903047,0.92935332397699155,0,0,0,0,185028,0.059233070228905976,35592,0.01139407784544621,0,0,0,0,61,1.9527948656221027e-05,0,0,35604,0.27084759687799537,95850,0.72915240312200469
spec06,429.mcf,429.mcf-22B,429.mcf-22B.champsimtrace.xz,50000001,69376226,0.72070800000000002,248129,81123,167006,3.3401200000000002,0.67306100000000002,1501501,30.030000000000001,1501501,167006,150570,0.60682100000000005,0,0,16436,0.066239699999999999,0,0,0,0,784700,0.5226103745518651,650151,0.43300071062223733,65222,0.043437866508247415,1428,0.00095104831765013809,784700,0.5226103745518651,0,0,0,0,650151,0.43300071062223733,65222,0.043437866508247415,0,0,0,0,1428,0.00095104831765013809,0,0,66199,0.39638695615726383,100807,0.60361304384273617
spec06,429.mcf,429.mcf-51B,429.mcf-51B.champsimtrace.xz,50000002,303348283,0.164827,4172136,3600188,571948,11.439,0.13708799999999999,3274297,65.485900000000001,3274297,571948,555575,0.133163,0,0,16373,0.0039243699999999999,0,0,0,0,2722105,0.83135555510083536,354556,0.10828461804167429,196048,0.059874837255142095,1588,0.00048498960234822925,2722105,0.83135555510083536,0,0,0,0,354556,0.10828461804167429,196048,0.059874837255142095,0,0,0,0,1588,0.00048498960234822925,0,0,197660,0.34559085791015964,374288,0.65440914208984036
spec06,433.milc,433.milc-127B,433.milc-127B.champsimtrace.xz,50000001,44003610,1.1362699999999999,60280,598,59682,1.19364,0.99007999999999996,756627,15.1325,756627,59682,56996,0.94552099999999994,4,6.6357000000000002e-05,2682,0.044492400000000001,0,0,0,0,317050,0.41903077738436506,432057,0.57103037560118786,7178,0.0094868409401197683,342,0.00045200607432724447,317008,0.41897526786646527,42,5.5509517899837043e-05,0,0,432057,0.57103037560118786,7174,0.0094815543193674037,4,5.2866207523654323e-06,0,0,342,0.00045200607432724447,0,0,7476,0.12526389866291343,52206,0.87473610133708657
spec06,433.milc,433.milc-274B,433.milc-274B.champsimtrace.xz,50000003,55069047,0.90795099999999995,74219,18305,55914,1.1182799999999999,0.75336499999999995,1069818,21.3964,1069818,55914,50937,0.686307,5,6.7368199999999996e-05,4972,0.066990900000000006,0,0,0,0,554369,0.51819000988953257,508472,0.47528832006939498,6347,0.0059327848288213509,630,0.00058888521225105574,554319,0.51814327296792539,50,4.6736921607226651e-05,0,0,508472,0.47528832006939498,6343,0.0059290458750927725,4,3.7389537285781322e-06,0,0,630,0.00058888521225105574,0,0,6929,0.12392245233751834,48985,0.87607754766248169
spec06,433.milc,433.milc-337B,433.milc-337B.champsimtrace.xz,50000001,46584278,1.0733200000000001,79193,932,78261,1.5652200000000001,0.98823099999999997,1068886,21.377700000000001,1068886,78261,71681,0.90514300000000003,1,1.26274e-05,6579,0.083075499999999997,0,0,0,0,572187,0.53531152994800191,486851,0.45547513953779917,9111,0.008523827611176496,737,0.00068950290302239898,572175,0.53530030330643308,12,1.1226641568885738e-05,0,0,486851,0.45547513953779917,9109,0.0085219565042483486,2,1.8711069281476229e-06,0,0,737,0.00068950290302239898,0,0,9797,0.12518368024942181,68464,0.87481631975057816
spec06,436.cactusADM,436.cactusADM-1804B,436.cactusADM-1804B.champsimtrace.xz,50000004,28200552,1.77302,1370433,906110,464323,9.2864599999999999,0.33881499999999998,220793,4.4158600000000003,220793,464323,463447,0.33817599999999998,0,0,876,0.00063921400000000004,0,0,0,0,87223,0.39504422694560065,133066,0.60267309199114105,402,0.0018207098956941569,102,0.00046197116756418907,87223,0.39504422694560065,0,0,0,0,133066,0.60267309199114105,402,0.0018207098956941569,0,0,0,0,102,0.00046197116756418907,0,0,457,0.00098422865117601325,463866,0.99901577134882402
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,88151374,0.56720599999999999,266328,210362,55966,1.1193200000000001,0.21013899999999999,1263647,25.2729,1263647,55966,45277,0.17000499999999999,9,3.37929e-05,10680,0.040100900000000002,0,0,0,0,617124,0.48836740007296342,636466,0.50367388993919981,8934,0.0070700124322694551,1123,0.00088869755556733804,616987,0.48825898371934567,137,0.00010841635361774293,0,0,636466,0.50367388993919981,8926,0.0070636815503063747,8,6.3308819630798792e-06,0,0,1123,0.00088869755556733804,0,0,10005,0.17876925276060465,45961,0.82123074723939538
spec06,459.GemsFDTD,459.GemsFDTD-1169B,459.GemsFDTD-1169B.champsimtrace.xz,50000003,51012906,0.98014400000000002,757064,585231,171833,3.4366599999999998,0.22697300000000001,398228,7.9645599999999996,398228,171833,112402,0.14847099999999999,2,2.6417800000000001e-06,59429,0.078499299999999994,0,0,0,0,256459,0.64400042186887918,133178,0.33442650943680502,4919,0.012352220336088874,3672,0.0092208483582269449,256318,0.64364635334531972,141,0.00035406852355936798,0,0,133178,0.33442650943680502,4917,0.012347198087527747,2,5.0222485611257872e-06,0,0,3672,0.0092208483582269449,0,0,8545,0.049728515477236619,163288,0.95027148452276333
