dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec06,429.mcf,4,0.19940858265226424,5.8252748252417552,0.063161466536764396,11493929,57.469643275910698,11493929,1165055,0.060602707596111631,0,0.002558758940652764,0,0,0.95948860783396495,0,0.040511392166035082,0,0,9605966,0.83574259071897872,1486187,0.129301912339984,398217,0.034645855216262428,3559,0.00030964172477487899,9605966,0.83574259071897872,0,0,0,0,1486187,0.129301912339984,398217,0.034645855216262428,0,0,0,0,3559,0.00030964172477487899,0,0,403758,0.34655702949646155,761297,0.6534429705035385
spec06,433.milc,3,1.0345648635835594,1.2923799569206682,0.90717949197911008,2895331,19.302206023259799,2895331,193857,0.84052748816053013,4.6796323680811636e-05,0.066605207494899205,0,0,0.92652831726478801,5.1584415316444599e-05,0.073420098319895599,0,0,1443606,0.49859791505703493,1427380,0.4929937198890213,22636,0.0078181043894463183,1709,0.00059026066449742703,1443502,0.49856199515703042,104,3.5919900004524526e-05,0,0,1427380,0.4929937198890213,22626,0.0078146505529074223,10,3.4538365388965891e-06,0,0,1709,0.00059026066449742703,0,0,24202,0.12484460194885921,169655,0.87515539805114084
spec06,436.cactusADM,1,1.77302,9.2864592570832603,0.33881481254464829,220793,4.4158596467312279,220793,464323,0.33817559851521378,0,0.00063921402943449264,0,0,0.99811338227914614,0,0.0018866177208538022,0,0,87223,0.39504422694560065,133066,0.60267309199114105,402,0.0018207098956941569,102,0.00046197116756418907,87223,0.39504422694560065,0,0,0,0,133066,0.60267309199114105,402,0.0018207098956941569,0,0,0,0,102,0.00046197116756418907,0,0,457,0.00098422865117601325,463866,0.99901577134882402
spec06,450.soplex,1,0.56720599999999999,1.1193200000000001,0.21013937700880117,1263647,25.272939999999998,1263647,55966,0.17000465591300953,3.3792917004595838e-05,0.040100928178787063,0,0,0.80900904120358785,0.00016081192152378229,0.19083014687488833,0,0,617124,0.48836740007296342,636466,0.50367388993919981,8934,0.0070700124322694551,1123,0.00088869755556733804,616987,0.48825898371934567,137,0.00010841635361774293,0,0,636466,0.50367388993919981,8926,0.0070636815503063747,8,6.3308819630798792e-06,0,0,1123,0.00088869755556733804,0,0,10005,0.17876925276060465,45961,0.82123074723939538
spec06,459.GemsFDTD,4,0.94574736099723311,2.8953098262814105,0.27671732743575972,2605795,13.028974218261547,2605795,579062,0.17271476986655912,3.3451017197645814e-06,0.10399921246748084,0,0,0.62415596257395578,1.2088515564827255e-05,0.37583194891047939,0,0,1242772,0.47692623556342689,1299429,0.49866892829251724,39893,0.015309339376274803,23701,0.0090954967677810417,1242359,0.47676774266586591,413,0.00015849289756101305,0,0,1299429,0.49866892829251724,39883,0.015305501775849597,10,3.8376004252061268e-06,0,0,23701,0.0090954967677810417,0,0,63271,0.10926463832888361,515791,0.89073536167111644
spec06,471.omnetpp,1,0.43821900000000003,4.4668595533140447,0.215882740148682,1251575,25.03149749685025,1251575,223343,0.20001121252864754,0.00028707939726858937,0.015584448222765879,0,0,0.9264807941148816,0.0013297931880560394,0.072189412697062361,0,0,648780,0.51837085272556582,571964,0.4569953858138745,30009,0.023976988993867725,822,0.00065677246669196808,647617,0.51744162355432155,1163,0.00092922917124423229,0,0,571964,0.4569953858138745,29916,0.023902682619898929,93,7.4306373968799317e-05,0,0,822,0.00065677246669196808,0,0,30848,0.13811939483216398,192495,0.86188060516783604
spec06,473.astar,2,0.32833494797690965,9.4373595281320242,0.32961009559620408,1975411,19.754109012294549,1975411,943732,0.31267897438834807,2.7940872921766603e-06,0.016928327120563819,0,0,0.94863288038180171,8.4769469427890844e-06,0.051358642671255519,0,0,1564286,0.79187875333285074,341864,0.1730596822635897,66803,0.03381726638152769,2458,0.0012442980220318709,1564174,0.79182205627082158,112,5.669706202911698e-05,0,0,341864,0.1730596822635897,66800,0.033815747710223339,3,1.5186713043513476e-06,0,0,2458,0.0012442980220318709,0,0,81871,0.086752383091809965,861861,0.91324761690819001
spec06,483.xalancbmk,2,0.6733129043468572,2.4095799518084009,0.3760514890176947,2001805,20.018049599639006,2001805,240958,0.32525696128647635,0.0053343071799337657,0.045460220551284569,0,0,0.86492666771802551,0.014185044696586126,0.12088828758538832,0,0,1009489,0.50428937883560088,927600,0.46338179792737055,62932,0.031437627541144118,1784,0.00089119569588446432,986241,0.49267586003631725,23248,0.011613518799283646,0,0,927600,0.46338179792737055,62254,0.03109893321277547,678,0.00033869432836864728,0,0,1784,0.00089119569588446432,0,0,64542,0.26785580889615618,176416,0.73214419110384388
spec17,602.gcc_s,1,0.44226500000000002,1.3147,0.96497409022181124,3582582,71.65164,3582582,65735,0.8746054814227624,0,0.090368608799048747,0,0,0.90635125884232148,0,0.093648741157678558,0,0,146991,0.041029346990522478,3421399,0.95500926426806143,13485,0.0037640450379084135,707,0.00019734370350769361,146991,0.041029346990522478,0,0,0,0,3421399,0.95500926426806143,13485,0.0037640450379084135,0,0,0,0,707,0.00019734370350769361,0,0,13754,0.20923404578991406,51981,0.790765954210086
spec17,605.mcf_s,5,0.3012895034699552,11.599535675213001,0.35404895594111807,13459199,53.836794492569751,13459199,2899884,0.34225889827766609,0,0.011790057663452017,0,0,0.96669935762947756,0,0.03330064237052241,0,0,6212471,0.46157806270640622,6253018,0.46459064911663761,986548,0.07329916141369186,7162,0.00053212676326429233,6212471,0.46157806270640622,0,0,0,0,6253018,0.46459064911663761,986548,0.07329916141369186,0,0,0,0,7162,0.00053212676326429233,0,0,992078,0.34210954645082353,1907806,0.65789045354917641
spec17,620.omnetpp_s,2,0.47455247590124316,4.6906198123752079,0.21083494435187611,1533772,15.337719386491225,1533772,469062,0.20343467205565666,0.00088682806368081744,0.0065134442325386344,0,0,0.96490016245187205,0.0042062669753678622,0.030893570572760105,0,0,870262,0.56739984821733613,590228,0.38482121201847469,72622,0.047348628088138264,660,0.00043031167605093849,867989,0.56591788088451223,2273,0.0014819673328239139,0,0,590228,0.38482121201847469,72468,0.047248222030393042,154,0.00010040605774521898,0,0,660,0.00043031167605093849,0,0,73285,0.15623734175865878,395777,0.84376265824134122
