level,dataset,benchmark,num_selected_traces
benchmark,spec06,403.gcc,1
benchmark,spec06,429.mcf,4
benchmark,spec06,433.milc,3
benchmark,spec06,436.cactusADM,1
benchmark,spec06,450.soplex,1
benchmark,spec06,459.GemsFDTD,3
benchmark,spec06,471.omnetpp,1
benchmark,spec06,473.astar,2
benchmark,spec06,483.xalancbmk,1
benchmark,spec17,602.gcc_s,1
benchmark,spec17,605.mcf_s,5
benchmark,spec17,620.omnetpp_s,2
benchmark,spec17,623.xalancbmk_s,3
benchmark,spec17,649.fotonik3d_s,1
benchmark,gap,bc,11
benchmark,gap,bfs,18
benchmark,gap,cc,18
benchmark,gap,pr,8
benchmark,gap,sssp,10
benchmark,gap,tc,6
benchmark,ligra,ligra_BC,1
benchmark,ligra,ligra_BFS,1
benchmark,ligra,ligra_BellmanFord,1
benchmark,ligra,ligra_CF,1
benchmark,ligra,ligra_Components,1
benchmark,ligra,ligra_Components-Shortcut,1
benchmark,ligra,ligra_PageRank,3
benchmark,ligra,ligra_PageRankDelta,3
benchmark,ligra,ligra_Radii,3
benchmark,qmm,qmm_fp,3
benchmark,qmm,qmm_int,8
benchmark,qmm,qmm_srv,19
benchmark,parsec,parsec_canneal,6
benchmark,xsbench,xsbench_XL100hash,2
benchmark,xsbench,xsbench_XL100nuclide,4
benchmark,xsbench,xsbench_XL100unionized,1
benchmark,xsbench,xsbench_XL64hash,2
benchmark,xsbench,xsbench_XL64nuclide,1
benchmark,xsbench,xsbench_XL64unionized,1
benchmark,xsbench,xsbench_XXL100hash,3
benchmark,xsbench,xsbench_XXL100nuclide,7
benchmark,xsbench,xsbench_XXL100unionized,1
benchmark,xsbench,xsbench_XXL64hash,2
benchmark,xsbench,xsbench_XXL64nuclide,3
benchmark,xsbench,xsbench_XXL64unionized,1
suite,spec06,amean_spec06,17
suite,spec17,amean_spec17,12
suite,gap,amean_gap,71
suite,ligra,amean_ligra,15
suite,qmm,amean_qmm,30
suite,parsec,amean_parsec,6
suite,xsbench,amean_xsbench,28
all,all,amean_all,179
